Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;91.207.57.97
2;*;*;*;0.0.0.0
3;*;*;*;0.0.0.0
4;6;6;6;193.27.15.254
5;6;5;5;193.27.15.179
6;6;5;5;157.240.89.142
7;5;5;5;129.134.40.204
8;5;5;5;173.252.64.244
9;8;8;9;129.134.62.92
10;6;6;6;157.240.252.35
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
