Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;93.93.202.1
2;1;1;2;80.64.177.95
3;2;2;1;109.104.59.104
4;1;1;1;109.104.59.143
5;1;1;1;109.104.59.177
6;6;6;6;109.104.58.196
7;6;6;6;157.240.83.136
8;5;5;5;129.134.40.204
9;6;6;6;157.240.59.85
10;9;9;9;129.134.95.95
11;6;6;6;157.240.251.35
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
