YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;2;3;2;180.179.210.65
3;2;3;2;180.179.197.217
4;3;2;3;115.114.12.185
5;*;*;*;0.0.0.0
6;2;3;3;115.112.197.90
7;3;4;4;142.251.78.139
8;5;5;5;142.251.54.101
9;4;6;4;142.251.43.174
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
