Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;103.28.15.177
2;3;2;1;43.252.139.6
3;6;6;6;218.100.41.98
4;3;40;40;129.134.38.102
5;41;40;39;129.134.58.44
6;57;56;67;129.134.116.161
7;54;54;53;157.240.208.35
8;*;*;*;*
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
